City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Sattahip,TH,82.49,moderate rain,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
464,Bhavnagar,IN,84.29,moderate rain,21.7667,72.15,Hotel Mausam
466,Phan Thiet,VN,77.0,overcast clouds,10.9333,108.1,Hotel Saigon-PT
467,Shingu,JP,76.75,clear sky,33.7333,135.9833,Shingu UI Hotel
468,Gloversville,US,84.97,clear sky,43.0528,-74.3438,"Holiday Inn Johnstown-Gloversville, an IHG Hotel"
470,Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
471,Bone,DE,81.82,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
472,Barcelos,PT,74.91,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
474,Lasa,IT,76.08,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
477,Lorengau,PG,81.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
479,Makakilo City,US,82.15,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
480,Tilaran,CR,75.07,broken clouds,10.4703,-84.9671,Hotel Cielo Azul Resort
481,Tautira,PF,76.24,light rain,-17.7333,-149.15,Pension Oaoa
483,Dehri,IN,84.29,overcast clouds,24.8667,84.1833,Jalwanshi Love
485,Chake Chake,TZ,71.29,clear sky,-5.2459,39.7666,Hotel Archipelago
487,Cihuatlan,MX,87.48,broken clouds,19.2366,-104.5651,Hotel Posada Agua Escondida
488,Warri,NG,76.12,overcast clouds,5.5167,5.75,GT Guesthouse
493,Fereydunshahr,IR,73.0,broken clouds,32.941,50.121,موسسه آسمان پرواز پرتیکان
497,Jiayuguan,CN,77.31,few clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
498,Totness,SR,80.89,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
499,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
502,Moa,CU,84.15,overcast clouds,20.6569,-74.9403,Carmen
503,Dortyol,TR,78.55,clear sky,36.8616,36.2289,Fourway Hotel
504,Jalu,LY,84.9,clear sky,29.0331,21.5482,صاحبة الفخامة
